epoch,train_loss,val_loss,val_auc,val_acc,val_n
1,0.6774239726364613,0.6810401126742363,0.5677938709351901,0.5475,1600
2,0.6707947351038456,0.6807839557528496,0.5658134980700825,0.55125,1600
3,0.6699045330286026,0.6807736709713936,0.5690978266353843,0.563125,1600
4,0.6696876969188452,0.6807682812213898,0.5698562337596811,0.56125,1600
5,0.6688756354153156,0.6809233099222183,0.570538169479553,0.56,1600
6,0.6685073953121901,0.6809806078672409,0.5713951222281087,0.558125,1600
7,0.6679675340652466,0.6811897218227386,0.5700643621181161,0.55875,1600
8,0.6675171077251434,0.6811943590641022,0.5706989959383436,0.559375,1600
9,0.6669220589101315,0.6815366059541702,0.5708432667322586,0.5575,1600
10,0.6660264655947685,0.6816218420863152,0.5714968213123439,0.561875,1600
11,0.666941537335515,0.6821983963251114,0.5716008854915613,0.5625,1600
12,0.6657739888876677,0.6820635110139847,0.5707123981432428,0.56,1600
13,0.6648442968726158,0.6817088767886161,0.5746967948232802,0.56375,1600
14,0.6641124296933413,0.6816931053996086,0.5766669189434648,0.5675,1600
15,0.6626415871083736,0.6825162068009376,0.5748473725371478,0.56625,1600
16,0.6617448516190052,0.6828678965568542,0.5741843575771336,0.566875,1600
17,0.6612182080745697,0.682752713561058,0.5762443553066424,0.5675,1600
18,0.659700333327055,0.6838321760296822,0.5726604480435934,0.56625,1600
19,0.6611162401735783,0.6847603812813758,0.5709189497716896,0.56875,1600
20,0.6612193867564201,0.6833522617816925,0.5735544539468705,0.56125,1600
