epoch,train_loss,val_loss,val_auc,val_acc,val_n
1,0.675496482104063,0.6804625809192657,0.5680532430182397,0.5475,1600
2,0.6706695064902306,0.6799430519342422,0.5678695539746209,0.548125,1600
3,0.6702802583575249,0.6798537135124206,0.567351598173516,0.54875,1600
4,0.6699799980968237,0.6797303661704064,0.568619289083983,0.55125,1600
5,0.6700902055948973,0.6800896048545837,0.5641563548525442,0.54875,1600
6,0.6699753809720278,0.6821519121527672,0.5616257032215748,0.54875,1600
7,0.6708578947931528,0.681136965751648,0.5630337231009864,0.54625,1600
8,0.6699910752475262,0.6801376447081566,0.566545889149575,0.54625,1600
9,0.6700355850160122,0.6796808257699013,0.5680690103181211,0.545625,1600
10,0.6696816142648458,0.6797366946935653,0.5664765130300966,0.54375,1600
11,0.6695490535348654,0.6797655805945396,0.5662100456621004,0.54375,1600
12,0.669515286386013,0.6797984272241593,0.5683733192058327,0.5475,1600
13,0.6695291612297296,0.6798034638166428,0.5685112830797953,0.5475,1600
14,0.6694972265511752,0.6797916397452355,0.5682385087918465,0.5475,1600
15,0.6695299349725247,0.6798130378127099,0.567957850853957,0.5475,1600
16,0.6694724556058645,0.6798110410571099,0.5679539090289867,0.5475,1600
17,0.669446324557066,0.679850572347641,0.5679491788390222,0.5475,1600
18,0.6694325119256973,0.6798433184623718,0.5678080615050835,0.5475,1600
19,0.6694524031132459,0.6798731282353401,0.5678837445445143,0.5475,1600
20,0.6694234881550074,0.6798538878560066,0.5679483904740281,0.5475,1600
