epoch,train_loss,val_loss,val_auc,val_acc,val_n
1,0.6514699378982186,0.6356622323393821,0.6763745206720773,0.6425,1600
2,0.6340430868789554,0.6347454398870468,0.6764771351306125,0.6425,1600
3,0.6334602028131485,0.6343979984521866,0.6752797033337071,0.6425,1600
4,0.6330855691805481,0.6340481534600257,0.6760358929589115,0.6425,1600
5,0.6327137852087616,0.6335573196411133,0.6753231171430872,0.6425,1600
6,0.632221813686192,0.6330293774604797,0.6778292779573092,0.645625,1600
7,0.6322077300399542,0.6326945349574089,0.6789572476592063,0.643125,1600
8,0.6323004111647605,0.6327846258878708,0.6789446181873866,0.6425,1600
9,0.6322415057569742,0.6327586233615875,0.6801278418284948,0.6425,1600
10,0.6321882048621774,0.6327025040984153,0.6806590689869112,0.6425,1600
11,0.6322310967370868,0.6327342048287392,0.678476538388069,0.6425,1600
12,0.6321108171716332,0.6326283484697341,0.6814349921618341,0.6425,1600
13,0.6320905469357967,0.632641738653183,0.6794174340386367,0.6425,1600
14,0.6320016218349338,0.632584348320961,0.678526266933359,0.6425,1600
15,0.6316404398530722,0.6335124462842942,0.6782870963107734,0.640625,1600
16,0.6318002784624696,0.6331196129322052,0.6783368248560635,0.643125,1600
17,0.6318307282403112,0.6336098402738571,0.6791948395978145,0.641875,1600
18,0.6315144382417202,0.6335811480879784,0.6811366208900936,0.6425,1600
19,0.6313127184286713,0.633755911886692,0.6819251735368363,0.645,1600
20,0.6313320657238364,0.6342351034283638,0.6816212768711747,0.64625,1600
